,SourceID,TargetID
2032,RPL7AP66,TLR2
18005,RP5-850E9.3,SRXN1
31292,RNU1-28P,RNU1-27P
40458,SRP9P1,P2RY1
73577,HNRNPA3P6,RP11-480C16.1
82919,CENPB,TMEM110-MUSTN1
89646,UTY,XIST
89675,USP9Y,XIST
89695,RPS4Y1,XIST
89712,DDX3Y,XIST
89748,LINC00278,XIST
89755,ANOS2P,XIST
89766,TTTY10,XIST
89772,EIF1AY,XIST
89801,TSIX,XIST
89812,KDM5D,XIST
89815,ZFY,XIST
89816,ZFY-AS1,XIST
89829,TXLNGY,XIST
89861,TTTY15,XIST
89896,BCORP1,XIST
89970,PRKY,XIST
89974,TTTY14,XIST
89989,TMSB4Y,XIST
95218,ZNF134,MAGEH1
98829,ERCC6-PGBD3,PGBD3
131751,NUS1P1,RP11-717K11.2
134010,COX8A,RPL14P1
134136,TRIM58,RPL14P1
200270,CDRT4,TVP23C-CDRT4
215579,CTAGE8,CTAGE4
235116,CTD-3105H18.4,CTD-3105H18.14
238321,RP11-357N13.6,CENPCP1
270863,RP11-303E16.2,UPF3AP3
300275,USP9Y,UTY
300295,RPS4Y1,UTY
300312,DDX3Y,UTY
300348,LINC00278,UTY
300355,ANOS2P,UTY
300366,TTTY10,UTY
300372,EIF1AY,UTY
300401,TSIX,UTY
300412,KDM5D,UTY
300415,ZFY,UTY
300416,ZFY-AS1,UTY
300429,TXLNGY,UTY
300461,TTTY15,UTY
300496,BCORP1,UTY
300570,PRKY,UTY
300574,TTTY14,UTY
300589,TMSB4Y,UTY
323756,RPS4Y1,USP9Y
323773,DDX3Y,USP9Y
323809,LINC00278,USP9Y
323816,ANOS2P,USP9Y
323827,TTTY10,USP9Y
323833,EIF1AY,USP9Y
323862,TSIX,USP9Y
323873,KDM5D,USP9Y
323876,ZFY,USP9Y
323877,ZFY-AS1,USP9Y
323890,TXLNGY,USP9Y
323922,TTTY15,USP9Y
323957,BCORP1,USP9Y
324031,PRKY,USP9Y
324035,TTTY14,USP9Y
324050,TMSB4Y,USP9Y
339463,DDX3Y,RPS4Y1
339499,LINC00278,RPS4Y1
339506,ANOS2P,RPS4Y1
