,SourceID,TargetID
32037,TCEAL4,RNU1-27P
43888,CTD-3185P2.1,RP11-178H8.7
52091,RP11-65L3.3,ZNF623
52111,XIST,ZNF623
52131,CTD-2547G23.4,ZNF623
52140,C6orf47,ZNF623
52142,SPN,ZNF623
52151,HSP90B2P,ZNF623
52156,SOWAHC,ZNF623
52167,RP11-379H18.1,ZNF623
52176,RYKP1,ZNF623
52184,ITGB1P1,ZNF623
52202,RPL3P4,ZNF623
52213,RPSAP54,ZNF623
52217,RP11-731J8.2,ZNF623
52308,AC000403.4,ZNF623
52385,RPS4Y1,ZNF623
52388,RP11-303E16.2,ZNF623
52405,RP11-861E21.2,ZNF623
52461,PINK1-AS,ZNF623
52618,CTBP1-AS2,ZNF623
68251,XIST,RP11-65L3.3
68271,CTD-2547G23.4,RP11-65L3.3
68280,C6orf47,RP11-65L3.3
68282,SPN,RP11-65L3.3
68291,HSP90B2P,RP11-65L3.3
68296,SOWAHC,RP11-65L3.3
68307,RP11-379H18.1,RP11-65L3.3
68316,RYKP1,RP11-65L3.3
68324,ITGB1P1,RP11-65L3.3
68342,RPL3P4,RP11-65L3.3
68353,RPSAP54,RP11-65L3.3
68357,RP11-731J8.2,RP11-65L3.3
68448,AC000403.4,RP11-65L3.3
68525,RPS4Y1,RP11-65L3.3
68528,RP11-303E16.2,RP11-65L3.3
68545,RP11-861E21.2,RP11-65L3.3
68601,PINK1-AS,RP11-65L3.3
68758,CTBP1-AS2,RP11-65L3.3
89441,CTD-2547G23.4,XIST
89450,C6orf47,XIST
89452,SPN,XIST
89461,HSP90B2P,XIST
89466,SOWAHC,XIST
89477,RP11-379H18.1,XIST
89486,RYKP1,XIST
89494,ITGB1P1,XIST
89512,RPL3P4,XIST
89523,RPSAP54,XIST
89527,RP11-731J8.2,XIST
89618,AC000403.4,XIST
89695,RPS4Y1,XIST
89698,RP11-303E16.2,XIST
89715,RP11-861E21.2,XIST
89771,PINK1-AS,XIST
89928,CTBP1-AS2,XIST
110220,C6orf47,CTD-2547G23.4
110222,SPN,CTD-2547G23.4
110231,HSP90B2P,CTD-2547G23.4
110236,SOWAHC,CTD-2547G23.4
110247,RP11-379H18.1,CTD-2547G23.4
110256,RYKP1,CTD-2547G23.4
110264,ITGB1P1,CTD-2547G23.4
110282,RPL3P4,CTD-2547G23.4
110293,RPSAP54,CTD-2547G23.4
110297,RP11-731J8.2,CTD-2547G23.4
110388,AC000403.4,CTD-2547G23.4
110465,RPS4Y1,CTD-2547G23.4
110468,RP11-303E16.2,CTD-2547G23.4
110485,RP11-861E21.2,CTD-2547G23.4
110541,PINK1-AS,CTD-2547G23.4
110698,CTBP1-AS2,CTD-2547G23.4
119438,SPN,C6orf47
119447,HSP90B2P,C6orf47
119452,SOWAHC,C6orf47
119463,RP11-379H18.1,C6orf47
119472,RYKP1,C6orf47
119480,ITGB1P1,C6orf47
119498,RPL3P4,C6orf47
119509,RPSAP54,C6orf47
119513,RP11-731J8.2,C6orf47
119604,AC000403.4,C6orf47
119681,RPS4Y1,C6orf47
