,SourceID,TargetID
7131,RNU1-28P,RNU1-27P
27353,RP5-850E9.3,SRXN1
31431,RP11-51L5.7,GS1-358P8.4
43203,DDX3Y,XIST
43208,RPS4Y1,XIST
43209,USP9Y,XIST
43215,UTY,XIST
43224,TXLNGY,XIST
43273,ZFY,XIST
43296,TTTY14,XIST
43304,KDM5D,XIST
43332,EIF1AY,XIST
43334,TSIX,XIST
43382,LINC00278,XIST
43406,TMSB4Y,XIST
43413,BCORP1,XIST
43480,TTTY10,XIST
43482,TTTY15,XIST
43519,PRKY,XIST
43530,ANOS2P,XIST
43544,ZFY-AS1,XIST
72099,RP11-887P2.3,RP11-326I11.3
111830,ERCC6-PGBD3,PGBD3
117458,AL513412.1,RP11-146B14.1
153425,CTD-3105H18.4,CTD-3105H18.14
177995,LFNG,CH17-264L24.1
194227,ST13P15,CENPBD1
198867,CTAGE8,CTAGE4
205052,LRRC8D,RP11-302M6.4
261233,RPS4Y1,DDX3Y
261234,USP9Y,DDX3Y
261240,UTY,DDX3Y
261249,TXLNGY,DDX3Y
261298,ZFY,DDX3Y
261321,TTTY14,DDX3Y
261329,KDM5D,DDX3Y
261357,EIF1AY,DDX3Y
261359,TSIX,DDX3Y
261407,LINC00278,DDX3Y
261431,TMSB4Y,DDX3Y
261438,BCORP1,DDX3Y
261505,TTTY10,DDX3Y
261507,TTTY15,DDX3Y
261544,PRKY,DDX3Y
261555,ANOS2P,DDX3Y
261569,ZFY-AS1,DDX3Y
265504,USP9Y,RPS4Y1
265510,UTY,RPS4Y1
265519,TXLNGY,RPS4Y1
265568,ZFY,RPS4Y1
265591,TTTY14,RPS4Y1
265599,KDM5D,RPS4Y1
265627,EIF1AY,RPS4Y1
265629,TSIX,RPS4Y1
265677,LINC00278,RPS4Y1
265701,TMSB4Y,RPS4Y1
265708,BCORP1,RPS4Y1
265775,TTTY10,RPS4Y1
265777,TTTY15,RPS4Y1
265814,PRKY,RPS4Y1
265825,ANOS2P,RPS4Y1
265839,ZFY-AS1,RPS4Y1
266065,MAP7D2,RPS4Y1
266361,UTY,USP9Y
266370,TXLNGY,USP9Y
266419,ZFY,USP9Y
266442,TTTY14,USP9Y
266450,KDM5D,USP9Y
266478,EIF1AY,USP9Y
266480,TSIX,USP9Y
266528,LINC00278,USP9Y
266552,TMSB4Y,USP9Y
266559,BCORP1,USP9Y
266626,TTTY10,USP9Y
266628,TTTY15,USP9Y
266665,PRKY,USP9Y
266676,ANOS2P,USP9Y
266690,ZFY-AS1,USP9Y
266916,MAP7D2,USP9Y
271455,TXLNGY,UTY
271504,ZFY,UTY
271527,TTTY14,UTY
271535,KDM5D,UTY
271563,EIF1AY,UTY
271565,TSIX,UTY
271613,LINC00278,UTY
271637,TMSB4Y,UTY
271644,BCORP1,UTY
271711,TTTY10,UTY
271713,TTTY15,UTY
271750,PRKY,UTY
271761,ANOS2P,UTY
271775,ZFY-AS1,UTY
275044,RP4-730K3.3,RP11-467D6.1
279064,ZFY,TXLNGY
279087,TTTY14,TXLNGY
279095,KDM5D,TXLNGY
279123,EIF1AY,TXLNGY
279125,TSIX,TXLNGY
279173,LINC00278,TXLNGY
279197,TMSB4Y,TXLNGY
279204,BCORP1,TXLNGY
279271,TTTY10,TXLNGY
279273,TTTY15,TXLNGY
279310,PRKY,TXLNGY
279321,ANOS2P,TXLNGY
279335,ZFY-AS1,TXLNGY
279561,MAP7D2,TXLNGY
