,SourceID,TargetID
10889,CTBP1-AS2,AC090498.1
21145,PGBD4,SENP3-EIF4A1
21935,IGKV1D-17,SENP3-EIF4A1
29367,RP11-164H13.1,SCARNA10
40516,IGKV1D-17,PGBD4
41899,RP11-467L13.7,RAC1P2
47314,CTD-3099C6.9,SPIN4
47354,RP11-294J22.7,SPIN4
47364,FAM231D,SPIN4
47376,ILF3-AS1,SPIN4
47402,TMEM262,SPIN4
47403,CTD-3105H18.14,SPIN4
47417,IGLC3,SPIN4
47423,KLLN,SPIN4
47425,HIST1H1E,SPIN4
47440,UBQLN2,SPIN4
47446,CENPBD1,SPIN4
47470,RP11-203F10.6,SPIN4
47495,DSTNP2,SPIN4
47520,EEF1A1P4,SPIN4
47532,NUS1P1,SPIN4
47570,ST13P15,SPIN4
47571,RP11-92K2.2,SPIN4
47698,RP11-582J16.5,SPIN4
47824,AC007036.5,SPIN4
47865,ZNF354A,SPIN4
62341,RP11-294J22.7,CTD-3099C6.9
62351,FAM231D,CTD-3099C6.9
62363,ILF3-AS1,CTD-3099C6.9
62389,TMEM262,CTD-3099C6.9
62390,CTD-3105H18.14,CTD-3099C6.9
62404,IGLC3,CTD-3099C6.9
62410,KLLN,CTD-3099C6.9
62412,HIST1H1E,CTD-3099C6.9
62427,UBQLN2,CTD-3099C6.9
62433,CENPBD1,CTD-3099C6.9
62457,RP11-203F10.6,CTD-3099C6.9
62482,DSTNP2,CTD-3099C6.9
62507,EEF1A1P4,CTD-3099C6.9
62519,NUS1P1,CTD-3099C6.9
62557,ST13P15,CTD-3099C6.9
62558,RP11-92K2.2,CTD-3099C6.9
62685,RP11-582J16.5,CTD-3099C6.9
62811,AC007036.5,CTD-3099C6.9
62852,ZNF354A,CTD-3099C6.9
64173,RP11-197N18.8,PNMA1
69729,BIVM-ERCC5,RP11-448A19.1
93018,KLHL11,CTD-2547G23.4
104091,FAM231D,RP11-294J22.7
104103,ILF3-AS1,RP11-294J22.7
104129,TMEM262,RP11-294J22.7
104130,CTD-3105H18.14,RP11-294J22.7
104144,IGLC3,RP11-294J22.7
104150,KLLN,RP11-294J22.7
104152,HIST1H1E,RP11-294J22.7
104167,UBQLN2,RP11-294J22.7
104173,CENPBD1,RP11-294J22.7
104197,RP11-203F10.6,RP11-294J22.7
104222,DSTNP2,RP11-294J22.7
104247,EEF1A1P4,RP11-294J22.7
104259,NUS1P1,RP11-294J22.7
104297,ST13P15,RP11-294J22.7
104298,RP11-92K2.2,RP11-294J22.7
104425,RP11-582J16.5,RP11-294J22.7
104551,AC007036.5,RP11-294J22.7
104592,ZNF354A,RP11-294J22.7
114288,ILF3-AS1,FAM231D
114314,TMEM262,FAM231D
114315,CTD-3105H18.14,FAM231D
114329,IGLC3,FAM231D
114335,KLLN,FAM231D
114337,HIST1H1E,FAM231D
114352,UBQLN2,FAM231D
114358,CENPBD1,FAM231D
114382,RP11-203F10.6,FAM231D
114407,DSTNP2,FAM231D
114432,EEF1A1P4,FAM231D
114444,NUS1P1,FAM231D
114482,ST13P15,FAM231D
114483,RP11-92K2.2,FAM231D
114610,RP11-582J16.5,FAM231D
114736,AC007036.5,FAM231D
114777,ZNF354A,FAM231D
126404,TMEM262,ILF3-AS1
126405,CTD-3105H18.14,ILF3-AS1
126419,IGLC3,ILF3-AS1
126425,KLLN,ILF3-AS1
126427,HIST1H1E,ILF3-AS1
126442,UBQLN2,ILF3-AS1
126448,CENPBD1,ILF3-AS1
126472,RP11-203F10.6,ILF3-AS1
126497,DSTNP2,ILF3-AS1
126522,EEF1A1P4,ILF3-AS1
126534,NUS1P1,ILF3-AS1
126572,ST13P15,ILF3-AS1
126573,RP11-92K2.2,ILF3-AS1
126700,RP11-582J16.5,ILF3-AS1
126826,AC007036.5,ILF3-AS1
126867,ZNF354A,ILF3-AS1
139097,CLDN18,RP11-67L2.2
152106,CTD-3105H18.14,TMEM262
152120,IGLC3,TMEM262
152126,KLLN,TMEM262
152128,HIST1H1E,TMEM262
152143,UBQLN2,TMEM262
152149,CENPBD1,TMEM262
152173,RP11-203F10.6,TMEM262
152198,DSTNP2,TMEM262
152223,EEF1A1P4,TMEM262
152235,NUS1P1,TMEM262
152273,ST13P15,TMEM262
152274,RP11-92K2.2,TMEM262
152401,RP11-582J16.5,TMEM262
152527,AC007036.5,TMEM262
152568,ZNF354A,TMEM262
