,SourceID,TargetID
40,RP11-693J15.4,RNU2-2P
23853,TTTY15,RALGAPA1P1
59118,RP11-65L3.3,RPL3P4
59127,RP5-1085F17.3,RPL3P4
59158,AL672296.1,RPL3P4
59161,MIR3609,RPL3P4
59169,RP11-182N22.9,RPL3P4
59174,RP11-141B14.2,RPL3P4
59201,EID2B,RPL3P4
59204,RP4-675C20.4,RPL3P4
59213,AC084219.2,RPL3P4
59219,RP11-554J4.1,RPL3P4
59224,RP11-46C24.7,RPL3P4
59245,FAM50B,RPL3P4
59258,ZBTB8A,RPL3P4
59314,RP11-546D6.3,RPL3P4
59391,RP11-303E16.9,RPL3P4
59429,USP8P1,RPL3P4
59438,RP11-78O7.2,RPL3P4
59491,RP5-1148A21.3,RPL3P4
59827,RP11-480C16.1,RPL3P4
59844,KIAA0408,RPL3P4
75012,RP5-1085F17.3,RP11-65L3.3
75043,AL672296.1,RP11-65L3.3
75046,MIR3609,RP11-65L3.3
75054,RP11-182N22.9,RP11-65L3.3
75059,RP11-141B14.2,RP11-65L3.3
75086,EID2B,RP11-65L3.3
75089,RP4-675C20.4,RP11-65L3.3
75098,AC084219.2,RP11-65L3.3
75104,RP11-554J4.1,RP11-65L3.3
75109,RP11-46C24.7,RP11-65L3.3
75130,FAM50B,RP11-65L3.3
75143,ZBTB8A,RP11-65L3.3
75199,RP11-546D6.3,RP11-65L3.3
75276,RP11-303E16.9,RP11-65L3.3
75314,USP8P1,RP11-65L3.3
75323,RP11-78O7.2,RP11-65L3.3
75376,RP5-1148A21.3,RP11-65L3.3
75712,RP11-480C16.1,RP11-65L3.3
75729,KIAA0408,RP11-65L3.3
84466,AL672296.1,RP5-1085F17.3
84469,MIR3609,RP5-1085F17.3
84477,RP11-182N22.9,RP5-1085F17.3
84482,RP11-141B14.2,RP5-1085F17.3
84509,EID2B,RP5-1085F17.3
84512,RP4-675C20.4,RP5-1085F17.3
84521,AC084219.2,RP5-1085F17.3
84527,RP11-554J4.1,RP5-1085F17.3
84532,RP11-46C24.7,RP5-1085F17.3
84553,FAM50B,RP5-1085F17.3
84566,ZBTB8A,RP5-1085F17.3
84622,RP11-546D6.3,RP5-1085F17.3
84699,RP11-303E16.9,RP5-1085F17.3
84737,USP8P1,RP5-1085F17.3
84746,RP11-78O7.2,RP5-1085F17.3
84799,RP5-1148A21.3,RP5-1085F17.3
85135,RP11-480C16.1,RP5-1085F17.3
85152,KIAA0408,RP5-1085F17.3
116306,MIR3609,AL672296.1
116314,RP11-182N22.9,AL672296.1
116319,RP11-141B14.2,AL672296.1
116346,EID2B,AL672296.1
116349,RP4-675C20.4,AL672296.1
116358,AC084219.2,AL672296.1
116364,RP11-554J4.1,AL672296.1
116369,RP11-46C24.7,AL672296.1
116390,FAM50B,AL672296.1
116403,ZBTB8A,AL672296.1
116459,RP11-546D6.3,AL672296.1
116536,RP11-303E16.9,AL672296.1
116574,USP8P1,AL672296.1
116583,RP11-78O7.2,AL672296.1
116636,RP5-1148A21.3,AL672296.1
116972,RP11-480C16.1,AL672296.1
116989,KIAA0408,AL672296.1
119344,RP11-182N22.9,MIR3609
119349,RP11-141B14.2,MIR3609
119376,EID2B,MIR3609
119379,RP4-675C20.4,MIR3609
119388,AC084219.2,MIR3609
119394,RP11-554J4.1,MIR3609
119399,RP11-46C24.7,MIR3609
119420,FAM50B,MIR3609
119433,ZBTB8A,MIR3609
119489,RP11-546D6.3,MIR3609
119566,RP11-303E16.9,MIR3609
119604,USP8P1,MIR3609
119613,RP11-78O7.2,MIR3609
119666,RP5-1148A21.3,MIR3609
120002,RP11-480C16.1,MIR3609
120019,KIAA0408,MIR3609
127385,RP11-141B14.2,RP11-182N22.9
127412,EID2B,RP11-182N22.9
127415,RP4-675C20.4,RP11-182N22.9
127424,AC084219.2,RP11-182N22.9
127430,RP11-554J4.1,RP11-182N22.9
127435,RP11-46C24.7,RP11-182N22.9
127456,FAM50B,RP11-182N22.9
127469,ZBTB8A,RP11-182N22.9
127525,RP11-546D6.3,RP11-182N22.9
127602,RP11-303E16.9,RP11-182N22.9
127640,USP8P1,RP11-182N22.9
127649,RP11-78O7.2,RP11-182N22.9
127702,RP5-1148A21.3,RP11-182N22.9
128038,RP11-480C16.1,RP11-182N22.9
128055,KIAA0408,RP11-182N22.9
132402,EID2B,RP11-141B14.2
132405,RP4-675C20.4,RP11-141B14.2
132414,AC084219.2,RP11-141B14.2
132420,RP11-554J4.1,RP11-141B14.2
132425,RP11-46C24.7,RP11-141B14.2
132446,FAM50B,RP11-141B14.2
132459,ZBTB8A,RP11-141B14.2
132515,RP11-546D6.3,RP11-141B14.2
132592,RP11-303E16.9,RP11-141B14.2
132630,USP8P1,RP11-141B14.2
132639,RP11-78O7.2,RP11-141B14.2
132692,RP5-1148A21.3,RP11-141B14.2
133028,RP11-480C16.1,RP11-141B14.2
133045,KIAA0408,RP11-141B14.2
158919,RP4-675C20.4,EID2B
158928,AC084219.2,EID2B
158934,RP11-554J4.1,EID2B
158939,RP11-46C24.7,EID2B
158960,FAM50B,EID2B
158973,ZBTB8A,EID2B
159029,RP11-546D6.3,EID2B
159106,RP11-303E16.9,EID2B
159144,USP8P1,EID2B
159153,RP11-78O7.2,EID2B
159206,RP5-1148A21.3,EID2B
159542,RP11-480C16.1,EID2B
159559,KIAA0408,EID2B
161829,AC084219.2,RP4-675C20.4
161835,RP11-554J4.1,RP4-675C20.4
161840,RP11-46C24.7,RP4-675C20.4
161861,FAM50B,RP4-675C20.4
161874,ZBTB8A,RP4-675C20.4
161930,RP11-546D6.3,RP4-675C20.4
162007,RP11-303E16.9,RP4-675C20.4
162045,USP8P1,RP4-675C20.4
162054,RP11-78O7.2,RP4-675C20.4
162107,RP5-1148A21.3,RP4-675C20.4
162443,RP11-480C16.1,RP4-675C20.4
162460,KIAA0408,RP4-675C20.4
170484,RP11-554J4.1,AC084219.2
170489,RP11-46C24.7,AC084219.2
170510,FAM50B,AC084219.2
170523,ZBTB8A,AC084219.2
170579,RP11-546D6.3,AC084219.2
170656,RP11-303E16.9,AC084219.2
170694,USP8P1,AC084219.2
170703,RP11-78O7.2,AC084219.2
170756,RP5-1148A21.3,AC084219.2
171092,RP11-480C16.1,AC084219.2
171109,KIAA0408,AC084219.2
176210,RP11-46C24.7,RP11-554J4.1
176231,FAM50B,RP11-554J4.1
176244,ZBTB8A,RP11-554J4.1
176300,RP11-546D6.3,RP11-554J4.1
176377,RP11-303E16.9,RP11-554J4.1
176415,USP8P1,RP11-554J4.1
176424,RP11-78O7.2,RP11-554J4.1
176477,RP5-1148A21.3,RP11-554J4.1
176813,RP11-480C16.1,RP11-554J4.1
176830,KIAA0408,RP11-554J4.1
180971,FAM50B,RP11-46C24.7
180984,ZBTB8A,RP11-46C24.7
181040,RP11-546D6.3,RP11-46C24.7
181117,RP11-303E16.9,RP11-46C24.7
181155,USP8P1,RP11-46C24.7
181164,RP11-78O7.2,RP11-46C24.7
181217,RP5-1148A21.3,RP11-46C24.7
181553,RP11-480C16.1,RP11-46C24.7
181570,KIAA0408,RP11-46C24.7
200619,ZBTB8A,FAM50B
200675,RP11-546D6.3,FAM50B
200752,RP11-303E16.9,FAM50B
200790,USP8P1,FAM50B
200799,RP11-78O7.2,FAM50B
200852,RP5-1148A21.3,FAM50B
201188,RP11-480C16.1,FAM50B
201205,KIAA0408,FAM50B
210791,RP4-647J21.1,RP11-756P10.3
212609,RP11-546D6.3,ZBTB8A
212686,RP11-303E16.9,ZBTB8A
212724,USP8P1,ZBTB8A
212733,RP11-78O7.2,ZBTB8A
212786,RP5-1148A21.3,ZBTB8A
213122,RP11-480C16.1,ZBTB8A
213139,KIAA0408,ZBTB8A
221235,IFITM3,CTAGE6
221365,RP11-1060J15.4,CTAGE6
252622,AC005523.2,DYX1C1-CCPG1
262162,RP11-303E16.9,RP11-546D6.3
262200,USP8P1,RP11-546D6.3
262209,RP11-78O7.2,RP11-546D6.3
262262,RP5-1148A21.3,RP11-546D6.3
262598,RP11-480C16.1,RP11-546D6.3
262615,KIAA0408,RP11-546D6.3
279399,CNR1,TXLNGY
286346,MBNL1-AS1,RP11-439E19.10
323720,TRIM58,ZNF101P2
325109,USP8P1,RP11-303E16.9
325118,RP11-78O7.2,RP11-303E16.9
325171,RP5-1148A21.3,RP11-303E16.9
325507,RP11-480C16.1,RP11-303E16.9
325524,KIAA0408,RP11-303E16.9
353979,RP11-78O7.2,USP8P1
354032,RP5-1148A21.3,USP8P1
354368,RP11-480C16.1,USP8P1
354385,KIAA0408,USP8P1
360656,RP5-1148A21.3,RP11-78O7.2
360992,RP11-480C16.1,RP11-78O7.2
361009,KIAA0408,RP11-78O7.2
379008,RP11-861E21.2,RP11-508N22.12
390656,RP11-706O15.7,ZNF625-ZNF20
398357,RP11-480C16.1,RP5-1148A21.3
398374,KIAA0408,RP5-1148A21.3
399496,RABIF,TVP23C-CDRT4
399537,TDRD15,TVP23C-CDRT4
465026,RP11-164H13.1,ZFP57
465113,RP11-522I20.3,ZFP57
465197,CD300E,ZFP57
472402,TDRD15,RABIF
477925,ANOS2P,RP11-164H13.1
477993,RP11-522I20.3,RP11-164H13.1
478077,CD300E,RP11-164H13.1
478406,RP11-104N10.2,RP11-164H13.1
488234,RP11-522I20.3,ANOS2P
488318,CD300E,ANOS2P
488633,SDHAF1,ANOS2P
522012,CD300E,RP11-522I20.3
528047,RN7SL1,SPTSSB
529739,IGLV2-14,ZNF660
551497,B3GALT6,IFITM3
560512,SARM1,GADD45B
569902,KIAA0408,RP11-480C16.1
573402,IER3,MMGT1
579440,ZEB1-AS1,RP11-876N24.3
583482,RP11-171I2.1,RP11-65B7.2
589363,VAC14-AS1,TTC3P1
590115,RP11-1060J15.4,HIST1H2AG
602253,SDHAF1,CTD-2574D22.3
612999,CTB-63M22.1,VAC14-AS1
624070,RP11-803D5.1,SUMO2P1
625290,TTC30B,RP11-1193F23.1
625892,SDHAF1,HSP90B2P
625959,NCBP2-AS2,NANOS1
628791,IER5,AC016549.1
