SourceID,TargetID
TMEM176B,TMEM176A
DDX3Y,KDM5D
ZFY,KDM5D
PRKY,KDM5D
USP9Y,KDM5D
RPS4Y1,KDM5D
TXLNGY,KDM5D
TMSB4Y,KDM5D
TTTY14,KDM5D
UTY,KDM5D
MAP7D2,KDM5D
EIF1AY,KDM5D
BCORP1,KDM5D
TTTY10,KDM5D
XIST,KDM5D
LINC00278,KDM5D
ZFY-AS1,KDM5D
TTTY15,KDM5D
ANOS2P,KDM5D
TSIX,KDM5D
H4-16,FOXC1
AC026461.3,FOXC1
AC026403.1,SZRD1
AC090498.1,SZRD1
CCL8,CLDN18
NAT8,CLDN18
AC026461.3,CLDN18
ZFY,DDX3Y
PRKY,DDX3Y
USP9Y,DDX3Y
RPS4Y1,DDX3Y
TXLNGY,DDX3Y
TMSB4Y,DDX3Y
TTTY14,DDX3Y
UTY,DDX3Y
MAP7D2,DDX3Y
EIF1AY,DDX3Y
BCORP1,DDX3Y
TTTY10,DDX3Y
XIST,DDX3Y
LINC00278,DDX3Y
ZFY-AS1,DDX3Y
TTTY15,DDX3Y
ANOS2P,DDX3Y
TSIX,DDX3Y
PRKY,ZFY
USP9Y,ZFY
RPS4Y1,ZFY
TXLNGY,ZFY
TMSB4Y,ZFY
TTTY14,ZFY
UTY,ZFY
MAP7D2,ZFY
EIF1AY,ZFY
BCORP1,ZFY
TTTY10,ZFY
XIST,ZFY
LINC00278,ZFY
ZFY-AS1,ZFY
TTTY15,ZFY
ANOS2P,ZFY
TSIX,ZFY
CTXN2,SLC12A1
AC066612.1,SLC12A1
USP9Y,PRKY
RPS4Y1,PRKY
TXLNGY,PRKY
TMSB4Y,PRKY
TTTY14,PRKY
UTY,PRKY
MAP7D2,PRKY
EIF1AY,PRKY
BCORP1,PRKY
TTTY10,PRKY
XIST,PRKY
LINC00278,PRKY
ZFY-AS1,PRKY
TTTY15,PRKY
ANOS2P,PRKY
TSIX,PRKY
H3P16,CPPED1
CNTN4,SIGLEC8
ALOX15,SIGLEC8
AC114786.1,SIGLEC8
CCL8,PKD2L1
AC012363.2,PKD2L1
NAT8,CCL8
AC026461.3,CCL8
ARL2-SNX15,SNX15
RPS4Y1,USP9Y
TXLNGY,USP9Y
TMSB4Y,USP9Y
TTTY14,USP9Y
UTY,USP9Y
MAP7D2,USP9Y
EIF1AY,USP9Y
BCORP1,USP9Y
TTTY10,USP9Y
XIST,USP9Y
LINC00278,USP9Y
ZFY-AS1,USP9Y
TTTY15,USP9Y
ANOS2P,USP9Y
TSIX,USP9Y
AL606834.2,AHNAK
AC012363.2,FFAR2
RNU1-2,ZFP36
RHEBP1,ZFP36
TXLNGY,RPS4Y1
TMSB4Y,RPS4Y1
TTTY14,RPS4Y1
UTY,RPS4Y1
MAP7D2,RPS4Y1
EIF1AY,RPS4Y1
BCORP1,RPS4Y1
TTTY10,RPS4Y1
XIST,RPS4Y1
LINC00278,RPS4Y1
ZFY-AS1,RPS4Y1
TTTY15,RPS4Y1
ANOS2P,RPS4Y1
TSIX,RPS4Y1
TMSB4Y,TXLNGY
TTTY14,TXLNGY
UTY,TXLNGY
MAP7D2,TXLNGY
EIF1AY,TXLNGY
BCORP1,TXLNGY
TTTY10,TXLNGY
XIST,TXLNGY
LINC00278,TXLNGY
ZFY-AS1,TXLNGY
TTTY15,TXLNGY
ANOS2P,TXLNGY
TSIX,TXLNGY
ZNF354A,TIMM10B
AC068775.1,RBM38
RNU2-2P,WDR74
IGKV4-1,ITM2C
IGLV3-21,ITM2C
IGHG1,ITM2C
IGHV3-21,ITM2C
IGHV3-33,ITM2C
AL109918.1,ITM2C
IGKV1D-33,ITM2C
IGKV1-9,ITM2C
IGKV1-5,ITM2C
IGLL5,ITM2C
CCR1,TLR2
H3P16,TLR2
NOTCH2NL,RPL14P1
AL592114.1,RPL14P1
AC026403.1,RPL14P1
NOTCH2NL,CELF6
AC009690.1,CELF6
AC012363.2,NAT8
ALOX15,CNTN4
RBAK-RBAKDN,RBAK
AC012363.2,ADM
H3P16,JAZF1
UPF3AP3,JAZF1
TTTY14,TMSB4Y
UTY,TMSB4Y
MAP7D2,TMSB4Y
EIF1AY,TMSB4Y
BCORP1,TMSB4Y
TTTY10,TMSB4Y
XIST,TMSB4Y
LINC00278,TMSB4Y
ZFY-AS1,TMSB4Y
TTTY15,TMSB4Y
ANOS2P,TMSB4Y
TSIX,TMSB4Y
CALM2P2,FZD1
AKAP2,PALM2AKAP2
RBAK-RBAKDN,KCNB1
H3P16,CXCR5
AC114786.1,ALOX15
UTY,TTTY14
MAP7D2,TTTY14
EIF1AY,TTTY14
BCORP1,TTTY14
TTTY10,TTTY14
XIST,TTTY14
LINC00278,TTTY14
ZFY-AS1,TTTY14
TTTY15,TTTY14
ANOS2P,TTTY14
TSIX,TTTY14
EEF1A1P5,H3P16
AC018413.1,H3P16
AL136295.2,RPL10P16
HLA-DQB1-AS1,HLA-DQB1
AC007036.3,MTURN
AL645922.1,ZFP3
MAP7D2,UTY
EIF1AY,UTY
BCORP1,UTY
TTTY10,UTY
XIST,UTY
LINC00278,UTY
ZFY-AS1,UTY
TTTY15,UTY
ANOS2P,UTY
TSIX,UTY
EIF1AY,MAP7D2
BCORP1,MAP7D2
TTTY10,MAP7D2
XIST,MAP7D2
LINC00278,MAP7D2
ZFY-AS1,MAP7D2
TTTY15,MAP7D2
ANOS2P,MAP7D2
TSIX,MAP7D2
POLR2J2,FAM43A
SEPSECS-AS1,ATP6V0C
AF111167.2,ARL4C
AL136295.2,RPS2P46
IGLV3-21,H2AC11
AC091167.2,SHPK
BCORP1,EIF1AY
TTTY10,EIF1AY
XIST,EIF1AY
LINC00278,EIF1AY
ZFY-AS1,EIF1AY
TTTY15,EIF1AY
ANOS2P,EIF1AY
TSIX,EIF1AY
AL138759.1,SSBP3-AS1
RPL13AP5,C6orf47
AC024267.7,C6orf47
LINC01293,LINC01291
RP11-706O15.5,RP11-706O15.7
RNU1-27P,RNU1-28P
AC064799.1,RNU1-2
RNU1-3,RNU1-4
FSBP,MT-RNR2
IGLV3-21,IGKV4-1
IGHG1,IGKV4-1
IGHV3-21,IGKV4-1
IGKV1-9,IGKV4-1
IGLL5,IGKV4-1
IGHG1,IGLV3-21
IGHV3-21,IGLV3-21
IGKV1-9,IGLV3-21
IGKV1-5,IGLV3-21
IGLL5,IGLV3-21
IGHV3-21,IGHG1
IGHV3-33,IGHG1
IGKV1D-33,IGHG1
IGKV1-8,IGHG1
IGKV1-9,IGHG1
IGKV1-5,IGHG1
IGLL5,IGHG1
